chrom	tss	strand	gene_name	gene_type
chr2	25042076	+	EFR3B	protein_coding
chr2	25168903	-	POMC	protein_coding
chr2	25342590	-	DNMT3A	protein_coding
chr2	25673647	-	DTNB	protein_coding
chr2	25878487	-	ASXL2	protein_coding
chr2	25982749	-	KIF3C	protein_coding
chr2	26034084	+	RAB10	protein_coding
chr2	26173088	+	GAREM2	protein_coding
chr2	26244672	-	HADHA	protein_coding
chr2	26243170	+	HADHB	protein_coding
chr2	26346817	-	ADGRF3	protein_coding
chr2	26308547	+	SELENOI	protein_coding
chr2	26401920	+	DRC1	protein_coding
chr2	26558756	-	OTOF	protein_coding
chr2	26562585	+	FAM166C	protein_coding
chr2	26641366	-	CIB4	protein_coding
chr2	26692722	+	KCNK3	protein_coding
chr2	26764284	+	SLC35F6	protein_coding
chr2	26764289	+	CENPA	protein_coding
chr2	26847747	+	DPYSL5	protein_coding
chr2	26970637	+	MAPRE3	protein_coding
chr2	27032910	+	TMEM214	protein_coding
chr2	27042364	+	AGBL5	protein_coding
chr2	27071654	-	OST4	protein_coding
chr2	27078615	+	EMILIN1	protein_coding
chr2	27086772	+	KHK	protein_coding
chr2	27119128	-	CGREF1	protein_coding
chr2	27123789	+	ABHD1	protein_coding
chr2	27134666	-	PREB	protein_coding
chr2	27139410	-	PRR30	protein_coding
chr2	27149004	+	TCF23	protein_coding
chr2	27212958	-	SLC5A6	protein_coding
chr2	27212041	+	ATRAID	protein_coding
chr2	27217369	+	CAD	protein_coding
chr2	27275817	-	SLC30A3	protein_coding
chr2	27275433	+	DNAJC5G	protein_coding
chr2	27282429	+	TRIM54	protein_coding
chr2	27308445	-	UCN	protein_coding
chr2	27325680	-	MPV17	protein_coding
chr2	27356999	-	GTF3C2	protein_coding
chr2	27370338	-	EIF2B4	protein_coding
chr2	27370496	+	SNX17	protein_coding
chr2	27380790	-	ZNF513	protein_coding
chr2	27409591	-	PPM1G	protein_coding
chr2	27427790	+	NRBP1	protein_coding
chr2	27442366	+	KRTCAP3	protein_coding
chr2	27489805	-	IFT172	protein_coding
chr2	27495200	-	FNDC4	protein_coding
chr2	27496839	+	GCKR	protein_coding
chr2	27537386	+	C2orf16	protein_coding
chr2	27582969	+	ZNF512	protein_coding
chr2	27629012	-	CCDC121	protein_coding
chr2	27628247	+	GPN1	protein_coding
chr2	27663840	-	SUPT7L	protein_coding
chr2	27663426	+	SLC4A1AP	protein_coding
chr2	27771717	+	MRPL33	protein_coding
chr2	27890681	-	RBKS	protein_coding
chr2	27889941	+	BABAM2	protein_coding
chr2	28392448	+	FOSL2	protein_coding
chr2	28457145	+	PLB1	protein_coding
chr2	28751640	+	PPP1CB	protein_coding
chr2	28782517	+	SPDYA	protein_coding
chr2	28870309	-	TRMT61B	protein_coding
chr2	28894667	+	WDR43	protein_coding
chr2	28956611	+	TOGARAM2	protein_coding
chr2	29074523	-	PCARE	protein_coding
chr2	29097705	+	CLIP4	protein_coding
chr2	29921586	-	ALK	protein_coding
chr2	30146941	+	YPEL5	protein_coding
chr2	30231534	+	LBH	protein_coding
chr2	30447226	+	LCLAT1	protein_coding
chr2	30820542	-	CAPN13	protein_coding
chr2	31155202	-	GALNT14	protein_coding
chr2	31233858	-	CAPN14	protein_coding
chr2	31234152	+	EHD3	protein_coding
chr2	31414742	-	XDH	protein_coding
chr2	31580938	-	SRD5A2	protein_coding
chr2	32011230	-	MEMO1	protein_coding
chr2	32039805	-	DPY30	protein_coding
chr2	32063556	+	SPAST	protein_coding
chr2	32165841	+	SLC30A6	protein_coding
chr2	32265732	-	NLRC4	protein_coding
chr2	32277904	+	YIPF4	protein_coding
chr2	32357023	+	BIRC6	protein_coding
chr2	32628032	+	TTC27	protein_coding
chr2	32946953	+	LTBP1	protein_coding
chr2	33436324	+	RASGRP3	protein_coding
chr2	33599347	-	FAM98A	protein_coding
chr2	36355778	+	CRIM1	protein_coding
chr2	36646087	-	FEZ2	protein_coding
chr2	36696690	+	VIT	protein_coding
chr2	36966536	-	STRN	protein_coding
chr2	37084372	-	HEATR5B	protein_coding
chr2	37084518	+	GPATCH11	protein_coding
chr2	37157522	-	EIF2AK2	protein_coding
chr2	37196598	-	SULT6B1	protein_coding
chr2	37196488	+	CEBPZOS	protein_coding
chr2	37231596	-	CEBPZ	protein_coding
chr2	37231631	+	NDUFAF7	protein_coding
chr2	37324833	-	PRKD3	protein_coding
chr2	37342827	+	QPCT	protein_coding
chr2	37738468	-	CDC42EP3	protein_coding
chr2	37923187	+	RMDN2	protein_coding
chr2	38109902	-	CYP1B1	protein_coding
chr2	38377285	-	ATL2	protein_coding
chr2	38603586	-	HNRNPLL	protein_coding
chr2	38666081	+	GALM	protein_coding
chr2	38751494	-	SRSF7	protein_coding
chr2	38751534	+	GEMIN6	protein_coding
chr2	38875934	-	DHX57	protein_coding
chr2	38875976	+	MORN2	protein_coding
chr2	38889875	+	ARHGEF33	protein_coding
chr2	39124345	-	SOS1	protein_coding
chr2	39243983	-	CDKL4	protein_coding
chr2	39437301	-	MAP4K3	protein_coding
chr2	39664982	+	TMEM178A	protein_coding
chr2	39779267	-	THUMPD2	protein_coding
chr2	40611053	-	SLC8A1	protein_coding
chr2	42048021	+	PKDCC	protein_coding
chr2	42169353	+	EML4	protein_coding
chr2	42425088	-	COX7A2L	protein_coding
chr2	42493982	-	KCNG3	protein_coding
chr2	42494569	+	MTA3	protein_coding
chr2	42764135	-	OXER1	protein_coding
chr2	42792593	-	HAAO	protein_coding
chr2	43226606	-	ZFP36L2	protein_coding
chr2	43596038	-	THADA	protein_coding
chr2	43637260	+	PLEKHH2	protein_coding
chr2	43676429	-	C1GALT1C1L	protein_coding
chr2	43774039	+	DYNC2LI1	protein_coding
chr2	43838865	-	ABCG5	protein_coding
chr2	43831942	+	ABCG8	protein_coding
chr2	43996226	-	LRPPRC	protein_coding
chr2	44167969	+	PPM1B	protein_coding
chr2	44168851	+	ENSG00000285542	protein_coding
chr2	44275458	+	SLC3A1	protein_coding
chr2	44361862	-	PREPL	protein_coding
chr2	44361947	+	CAMKMT	protein_coding
chr2	44941702	+	SIX3	protein_coding
chr2	45009452	-	SIX2	protein_coding
chr2	45612165	-	SRBD1	protein_coding
chr2	45651345	+	PRKCE	protein_coding
chr2	46293667	+	EPAS1	protein_coding
chr2	46479565	+	TMEM247	protein_coding
chr2	46542577	-	ATP6V1E2	protein_coding
chr2	46541806	+	RHOQ	protein_coding
chr2	46617055	-	PIGF	protein_coding
chr2	46616416	+	CRIPT	protein_coding
chr2	46698952	+	SOCS5	protein_coding
chr2	46941855	-	MCFD2	protein_coding
chr2	46915869	+	TTC7A	protein_coding
chr2	47155308	-	STPG4	protein_coding
chr2	47176511	-	ENSG00000273269	protein_coding
chr2	47176921	-	CALM2	protein_coding
chr2	47345158	+	EPCAM	protein_coding
chr2	47403067	+	MSH2	protein_coding
chr2	47570985	-	KCNK12	protein_coding
chr2	47695530	+	MSH6	protein_coding
chr2	47906498	-	FBXO11	protein_coding
chr2	48314637	+	FOXN2	protein_coding
chr2	48440598	+	PPP1R21	protein_coding
chr2	48529383	+	STON1	protein_coding
chr2	48529925	+	STON1-GTF2A1L	protein_coding
chr2	48617798	+	GTF2A1L	protein_coding
chr2	48755724	-	ENSG00000279956	protein_coding
chr2	48755730	-	LHCGR	protein_coding
chr2	49154527	-	FSHR	protein_coding
chr2	51225575	-	NRXN1	protein_coding
chr2	53860160	-	ASB3	protein_coding
chr2	53767804	+	CHAC2	protein_coding
chr2	53787009	+	ERLEC1	protein_coding
chr2	53859967	-	GPR75	protein_coding
chr2	53970993	-	PSME4	protein_coding
chr2	53970838	+	ACYP2	protein_coding
chr2	54256229	-	TSPYL6	protein_coding
chr2	54330034	+	C2orf73	protein_coding
chr2	54456317	+	SPTBN1	protein_coding
chr2	54723499	+	EML6	protein_coding
chr2	55112621	-	RTN4	protein_coding
chr2	55232563	-	CLHC1	protein_coding
chr2	55231903	+	RPS27A	protein_coding
chr2	55269347	-	MTIF2	protein_coding
chr2	55419895	-	CCDC88A	protein_coding
chr2	55519604	+	CFAP36	protein_coding
chr2	55618880	-	PPP4R3B	protein_coding
chr2	55693863	-	PNPT1	protein_coding
chr2	55924139	-	EFEMP1	protein_coding
chr2	56183990	+	CCDC85A	protein_coding
chr2	57907629	+	VRK2	protein_coding
chr2	58241410	-	FANCL	protein_coding
chr2	60554467	-	BCL11A	protein_coding
chr2	60756253	+	PAPOLG	protein_coding
chr2	60881491	+	REL	protein_coding
chr2	61018259	-	PUS10	protein_coding
chr2	61017225	+	PEX13	protein_coding
chr2	61065871	+	SANBR	protein_coding
chr2	61145068	+	C2orf74	protein_coding
chr2	61471087	-	USP34	protein_coding
chr2	61538741	-	XPO1	protein_coding
chr2	61854143	-	FAM161A	protein_coding
chr2	61888671	-	CCT4	protein_coding
chr2	61888724	+	COMMD1	protein_coding
chr2	62196115	+	B3GNT2	protein_coding
chr2	62511894	-	TMEM17	protein_coding
chr2	62673851	+	EHBP1	protein_coding
chr2	63050057	+	OTX1	protein_coding
chr2	63827843	-	WDPCP	protein_coding
chr2	63588609	+	MDH1	protein_coding
chr2	63840952	+	UGP2	protein_coding
chr2	64019428	-	VPS54	protein_coding
chr2	64144420	-	PELI1	protein_coding
chr2	64453969	+	LGALSL	protein_coding
chr2	64524299	+	AFTPH	protein_coding
chr2	64751005	-	SERTAD2	protein_coding
chr2	64988477	+	SLC1A4	protein_coding
chr2	65056354	+	CEP68	protein_coding
chr2	65130331	-	RAB1A	protein_coding
chr2	65227788	+	ACTR2	protein_coding
chr2	65432637	-	SPRED2	protein_coding
chr2	66433452	+	MEIS1	protein_coding
chr2	67397322	+	ETAA1	protein_coding
chr2	68110948	-	C1D	protein_coding
chr2	68157549	-	DNAAF10	protein_coding
chr2	68261230	-	ENSG00000273398	protein_coding
chr2	68157888	+	PNO1	protein_coding
chr2	68256237	-	PPP3R1	protein_coding
chr2	68320051	-	CNRIP1	protein_coding
chr2	68365282	+	PLEK	protein_coding
chr2	68467294	-	FBXO48	protein_coding
chr2	68467572	+	APLF	protein_coding
chr2	68643579	+	PROKR1	protein_coding
chr2	68679601	+	ARHGAP25	protein_coding
chr2	68871397	-	BMP10	protein_coding
chr2	68952893	-	GKN2	protein_coding
chr2	68974573	+	GKN1	protein_coding
chr2	69013176	+	ANTXR1	protein_coding
chr2	69387250	-	GFPT1	protein_coding
chr2	69437628	-	NFU1	protein_coding
chr2	69674349	-	AAK1	protein_coding
chr2	69644425	+	ANXA4	protein_coding
chr2	69829660	+	GMCL1	protein_coding
chr2	69893956	+	SNRNP27	protein_coding
chr2	69897688	+	MXD1	protein_coding
chr2	69961631	-	ASPRV1	protein_coding
chr2	70087477	+	PCBP1	protein_coding
chr2	70248615	-	C2orf42	protein_coding
chr2	70248660	-	TIA1	protein_coding
chr2	70257386	+	PCYOX1	protein_coding
chr2	70293740	-	SNRPG	protein_coding
chr2	70302067	-	FAM136A	protein_coding
chr2	70554193	-	TGFA	protein_coding
chr2	70768225	-	ADD2	protein_coding
chr2	70790643	-	FIGLA	protein_coding
chr2	70820599	-	CLEC4F	protein_coding
chr2	70835816	-	CD207	protein_coding
chr2	70900576	+	VAX2	protein_coding
chr2	70935900	+	ATP6V1B1	protein_coding
chr2	70995336	-	ENSG00000258881	protein_coding
chr2	70994873	-	TEX261	protein_coding
chr2	70978380	+	ANKRD53	protein_coding
chr2	71064344	+	NAGK	protein_coding
chr2	71130239	-	MCEE	protein_coding
chr2	71130310	+	MPHOSPH10	protein_coding
chr2	71227103	-	PAIP2B	protein_coding
chr2	71276561	+	ZNF638	protein_coding
chr2	71453561	+	DYSF	protein_coding
chr2	72147862	-	CYP26B1	protein_coding
chr2	72826041	-	EXOC6B	protein_coding
chr2	72887382	+	SPR	protein_coding
chr2	72916260	+	EMX1	protein_coding
chr2	73075619	-	SFXN5	protein_coding
chr2	73156721	-	RAB11FIP5	protein_coding
chr2	73202574	+	NOTO	protein_coding
chr2	73214222	+	SMYD5	protein_coding
chr2	73233239	-	PRADC1	protein_coding
chr2	73233420	+	CCT7	protein_coding
chr2	73284478	-	FBXO41	protein_coding
chr2	73293701	-	EGR4	protein_coding
chr2	73385758	+	ALMS1	protein_coding
chr2	73642422	-	NAT8	protein_coding
chr2	73701340	-	NAT8B	protein_coding
chr2	73737400	-	TPRKB	protein_coding
chr2	73780132	-	DUSP11	protein_coding
chr2	73784183	+	C2orf78	protein_coding
chr2	73828916	+	STAMBP	protein_coding
chr2	73892314	+	ACTG2	protein_coding
chr2	73926826	+	DGUOK	protein_coding
chr2	73984910	+	TET3	protein_coding
chr2	74147912	-	BOLA3	protein_coding
chr2	74178898	-	MOB1A	protein_coding
chr2	74186172	+	MTHFD2	protein_coding
chr2	74363377	-	ENSG00000264324	protein_coding
chr2	74343416	-	SLC4A5	protein_coding
chr2	74392087	-	DCTN1	protein_coding
chr2	74421662	-	ENSG00000159239	protein_coding
chr2	74421619	-	C2orf81	protein_coding
chr2	74421678	+	WDR54	protein_coding
chr2	74442422	-	RTKN	protein_coding
chr2	74455087	+	INO80B	protein_coding
chr2	74455088	+	INO80B-WBP1	protein_coding
chr2	74458400	+	WBP1	protein_coding
chr2	74465410	-	MOGS	protein_coding
chr2	74472687	-	MRPL53	protein_coding
chr2	74483408	-	CCDC142	protein_coding
chr2	74483073	+	TTC31	protein_coding
chr2	74503316	-	LBX2	protein_coding
chr2	74507695	-	PCGF1	protein_coding
chr2	74513463	+	TLX2	protein_coding
chr2	74526281	-	DQX1	protein_coding
chr2	74529760	-	AUP1	protein_coding
chr2	74529596	+	HTRA2	protein_coding
chr2	74555690	-	LOXL3	protein_coding
chr2	74549026	+	DOK1	protein_coding
chr2	74648338	-	M1AP	protein_coding
chr2	74654228	+	SEMA4F	protein_coding
chr2	74834127	+	HK2	protein_coding
chr2	74958643	+	POLE4	protein_coding
chr2	75199520	-	TACR1	protein_coding
chr2	75569722	-	EVA1A	protein_coding
chr2	75646783	+	MRPL19	protein_coding
chr2	75710985	-	GCFC2	protein_coding
chr2	77593319	-	LRRTM4	protein_coding
chr2	79025686	+	REG3G	protein_coding
chr2	79088019	-	REG1B	protein_coding
chr2	79120362	+	REG1A	protein_coding
chr2	79159753	-	REG3A	protein_coding
chr2	79185231	+	CTNNA2	protein_coding
chr2	80304752	-	LRRTM1	protein_coding
chr2	84460045	-	SUCLG1	protein_coding
chr2	84516455	+	DNAH6	protein_coding
chr2	84907008	-	TRABD2A	protein_coding
chr2	84905656	+	TMSB10	protein_coding
chr2	84971093	+	KCMF1	protein_coding
chr2	85133392	+	TCF7L1	protein_coding
chr2	85328251	-	TGOLN2	protein_coding
chr2	85354531	-	RETSAT	protein_coding
chr2	85354394	+	ELMOD3	protein_coding
chr2	85418432	-	CAPG	protein_coding
chr2	85418714	+	SH2D6	protein_coding
chr2	85539168	+	MAT2A	protein_coding
chr2	85561532	-	GGCX	protein_coding
chr2	85561562	+	VAMP8	protein_coding
chr2	85584431	+	VAMP5	protein_coding
chr2	85595725	+	RNF181	protein_coding
chr2	85603196	-	TMEM150A	protein_coding
chr2	85602856	+	USP39	protein_coding
chr2	85612066	-	C2orf68	protein_coding
chr2	85668741	-	SFTPB	protein_coding
chr2	85685175	+	GNLY	protein_coding
chr2	85751344	+	ATOH8	protein_coding
chr2	85905199	-	ST3GAL5	protein_coding
chr2	86106155	-	POLR1A	protein_coding
chr2	86106223	+	PTCD3	protein_coding
chr2	86195472	-	IMMT	protein_coding
chr2	86199355	+	MRPL35	protein_coding
chr2	86338083	-	REEP1	protein_coding
chr2	86440647	+	KDM3A	protein_coding
chr2	86563479	-	CHMP3	protein_coding
chr2	86721122	-	RNF103-CHMP3	protein_coding
chr2	86623866	-	RNF103	protein_coding
chr2	86720291	+	RMND5A	protein_coding
chr2	86808396	-	CD8A	protein_coding
chr2	86861924	-	CD8B	protein_coding
chr2	86913783	+	RGPD1	protein_coding
chr2	87021852	-	PLGLB1	protein_coding
chr2	87748087	+	PLGLB2	protein_coding
chr2	87825796	-	RGPD2	protein_coding
chr2	88064252	-	KRCC1	protein_coding
chr2	88067825	+	SMYD1	protein_coding
chr2	88128062	-	FABP1	protein_coding
chr2	88170295	+	THNSL2	protein_coding
chr2	88452693	-	FOXI3	protein_coding
chr2	88524649	+	TEX37	protein_coding
chr2	88691518	-	EIF2AK3	protein_coding
chr2	88691673	+	RPIA	protein_coding
chr2	94587101	+	AQP7B	protein_coding
chr2	94871430	+	TEKT4	protein_coding
chr2	95025677	+	MAL	protein_coding
chr2	95122006	-	MRPS5	protein_coding
chr2	95165391	-	ENSG00000289685	protein_coding
chr2	95165668	-	ZNF514	protein_coding
chr2	95165432	+	ZNF2	protein_coding
chr2	95207521	+	ZNF892	protein_coding
chr2	95274449	+	PROM2	protein_coding
chr2	95297327	+	KCNIP3	protein_coding
chr2	95402708	+	FAHD2A	protein_coding
chr2	95484754	-	TRIM43B	protein_coding
chr2	95592001	+	TRIM43	protein_coding
chr2	95991831	-	ANKRD36C	protein_coding
chr2	96039451	-	GPAT2	protein_coding
chr2	96116571	-	ADRA2B	protein_coding
chr2	96138502	-	ASTL	protein_coding
chr2	96145440	-	DUSP2	protein_coding
chr2	96208827	-	STARD7	protein_coding
chr2	96265997	-	TMEM127	protein_coding
chr2	96266159	+	CIAO1	protein_coding
chr2	96321271	-	SNRNP200	protein_coding
chr2	96325317	+	ITPRIPL1	protein_coding
chr2	96335766	+	NCAPH	protein_coding
chr2	96508109	-	NEURL3	protein_coding
chr2	96536743	+	ARID5A	protein_coding
chr2	96642787	-	KANSL3	protein_coding
chr2	96642737	+	FER1L5	protein_coding
chr2	96740064	-	LMAN2L	protein_coding
chr2	96760902	+	CNNM4	protein_coding
chr2	96816245	+	CNNM3	protein_coding
chr2	96857934	-	ANKRD23	protein_coding
chr2	96858016	-	ANKRD39	protein_coding
chr2	96870757	-	SEMA4C	protein_coding
chr2	96986580	-	FAM178B	protein_coding
chr2	97094882	-	FAHD2B	protein_coding
chr2	97113153	+	ANKRD36	protein_coding
chr2	97589877	-	ANKRD36B	protein_coding
chr2	97646062	+	COX5B	protein_coding
chr2	97664044	-	ACTR1B	protein_coding
chr2	97664217	+	C2orf92	protein_coding
chr2	97713576	+	ZAP70	protein_coding
chr2	97995948	-	TMEM131	protein_coding
chr2	98087116	+	VWA3B	protein_coding
chr2	98346188	+	CNGA3	protein_coding
chr2	98444854	+	INPP4A	protein_coding
chr2	98608515	-	COA5	protein_coding
chr2	98608579	+	UNC50	protein_coding
chr2	98731132	-	MGAT4A	protein_coding
chr2	98936259	-	CRACDL	protein_coding
chr2	99154964	-	TSGA10	protein_coding
chr2	99141485	+	ENSG00000241962	protein_coding
chr2	99141707	+	C2orf15	protein_coding
chr2	99154955	+	LIPT1	protein_coding
chr2	99154998	+	ENSG00000273155	protein_coding
chr2	99181058	-	MITD1	protein_coding
chr2	99181152	+	MRPL30	protein_coding
chr2	99255666	-	LYG2	protein_coding
chr2	99304742	-	LYG1	protein_coding
chr2	99340702	-	TXNDC9	protein_coding
chr2	99337371	+	EIF5B	protein_coding
chr2	99490035	-	REV1	protein_coding
chr2	100192428	-	AFF3	protein_coding
chr2	100322501	-	LONRF2	protein_coding
chr2	100417668	-	CHST10	protein_coding
chr2	100470482	+	NMS	protein_coding
chr2	100562993	+	PDCL3	protein_coding
chr2	100820139	+	NPAS2	protein_coding
chr2	101002229	+	RPL31	protein_coding
chr2	101252866	-	TBC1D8	protein_coding
chr2	101252886	+	CNOT11	protein_coding
chr2	101308701	-	RNF149	protein_coding
chr2	101387503	-	CREG2	protein_coding
chr2	101475112	-	RFX8	protein_coding
chr2	101696850	+	MAP4K4	protein_coding
chr2	101991960	+	IL1R2	protein_coding
chr2	102064544	+	IL1R1	protein_coding
chr2	102187006	+	IL1RL2	protein_coding
chr2	102311502	+	IL1RL1	protein_coding
chr2	102311529	+	IL18R1	protein_coding
chr2	102418689	+	IL18RAP	protein_coding
chr2	102473226	+	SLC9A4	protein_coding
chr2	102619553	+	SLC9A2	protein_coding
chr2	102736888	-	MFSD9	protein_coding
chr2	102736905	+	TMEM182	protein_coding
chr2	104853287	+	POU3F3	protein_coding
chr2	105038069	+	MRPS9	protein_coding
chr2	105241743	+	GPR45	protein_coding
chr2	105329735	-	TGFBRAP1	protein_coding
chr2	105337532	+	C2orf49	protein_coding
chr2	105438513	-	FHL2	protein_coding
chr2	105744912	+	NCK2	protein_coding
chr2	106063246	+	ECRG4	protein_coding
chr2	106194301	-	UXS1	protein_coding
chr2	106468413	-	RGPD3	protein_coding
chr2	106487364	+	CD8B2	protein_coding
chr2	106887108	-	ST6GAL2	protein_coding
chr2	107826892	+	RGPD4	protein_coding
chr2	107986523	+	SLC5A7	protein_coding
chr2	108239968	+	SULT1C3	protein_coding
chr2	108288639	+	SULT1C2	protein_coding
chr2	108377911	+	SULT1C4	protein_coding
chr2	108449107	+	GCC2	protein_coding
chr2	108533671	+	LIMS1	protein_coding
chr2	108719482	+	RANBP2	protein_coding
chr2	108786757	+	CCDC138	protein_coding
chr2	108989372	-	EDAR	protein_coding
chr2	109129205	+	SH3RF3	protein_coding
chr2	109614143	-	SEPTIN10	protein_coding
chr2	109614364	+	SOWAHC	protein_coding
chr2	109792758	+	RGPD5	protein_coding
chr2	109898428	+	LIMS3	protein_coding
chr2	109898432	+	ENSG00000284337	protein_coding
chr2	110116022	-	MALL	protein_coding
chr2	110205066	-	NPHP1	protein_coding
chr2	110245420	-	MTLN	protein_coding
chr2	110473075	-	ENSG00000257207	protein_coding
chr2	110473075	-	LIMS4	protein_coding
chr2	110610840	-	RGPD6	protein_coding
chr2	110678063	-	BUB1	protein_coding
chr2	110732539	+	ACOXL	protein_coding
chr2	111119378	+	BCL2L11	protein_coding
chr2	111884690	-	ANAPC1	protein_coding
chr2	111898607	+	MERTK	protein_coding
chr2	112055269	+	TMEM87B	protein_coding
chr2	112138385	+	FBLN7	protein_coding
chr2	112255136	-	ZC3H8	protein_coding
chr2	112275597	+	ZC3H6	protein_coding
chr2	112434488	-	RGPD8	protein_coding
chr2	112482156	+	TTL	protein_coding
chr2	112541915	+	POLR1B	protein_coding
chr2	112584240	+	CHCHD5	protein_coding
chr2	112645939	+	SLC20A1	protein_coding
chr2	112721020	+	NT5DC4	protein_coding
chr2	112764664	-	CKAP2L	protein_coding
chr2	112784493	-	IL1A	protein_coding
chr2	112836816	-	IL1B	protein_coding
chr2	112911165	+	IL37	protein_coding
chr2	112973203	+	IL36G	protein_coding
chr2	113005459	+	IL36A	protein_coding
chr2	113052867	-	IL36B	protein_coding
chr2	113058638	+	IL36RN	protein_coding
chr2	113067970	+	IL1F10	protein_coding
chr2	113099315	+	IL1RN	protein_coding
chr2	113157325	+	PSD4	protein_coding
chr2	113278921	-	PAX8	protein_coding
chr2	113437691	+	ZNG1B	protein_coding
chr2	113498665	+	FOXD4L1	protein_coding
chr2	113627229	+	RABL2A	protein_coding
chr2	113756693	-	SLC35F5	protein_coding
chr2	113890063	+	ACTR3	protein_coding
chr2	114442299	+	DPP10	protein_coding
chr2	117814691	+	DDX18	protein_coding
chr2	118014133	-	CCDC93	protein_coding
chr2	118088452	+	INSIG2	protein_coding
chr2	118847648	-	EN1	protein_coding
chr2	118942194	+	MARCO	protein_coding
chr2	119158751	-	C1QL2	protein_coding
chr2	119223831	+	STEAP3	protein_coding
chr2	119366834	-	C2orf76	protein_coding
chr2	119366924	+	DBI	protein_coding
chr2	119429901	+	TMEM37	protein_coding
chr2	119525301	-	SCTR	protein_coding
chr2	119544432	+	CFAP221	protein_coding
chr2	119679167	+	TMEM177	protein_coding
chr2	119759922	+	PTPN4	protein_coding
chr2	120013077	+	EPB41L5	protein_coding
chr2	120223400	-	TMEM185B	protein_coding
chr2	120240064	+	RALB	protein_coding
chr2	120346136	+	INHBB	protein_coding
chr2	120735623	+	GLI2	protein_coding
chr2	121285202	-	TFCP2L1	protein_coding
chr2	121649476	-	CLASP1	protein_coding
chr2	121736911	-	NIFK	protein_coding
chr2	121737103	+	TSN	protein_coding
chr2	124025287	+	CNTNAP5	protein_coding
chr2	126656133	+	GYPC	protein_coding
chr2	126898864	+	TEX51	protein_coding
chr2	127107288	-	BIN1	protein_coding
chr2	127220313	-	CYP27C1	protein_coding
chr2	127294166	-	ERCC3	protein_coding
chr2	127388465	-	MAP3K2	protein_coding
chr2	127418427	+	PROC	protein_coding
chr2	127526886	-	IWS1	protein_coding
chr2	127535683	+	MYO7B	protein_coding
chr2	127681786	-	LIMS2	protein_coding
chr2	127645864	+	GPR17	protein_coding
chr2	127811187	-	WDR33	protein_coding
chr2	127701497	+	SFT2D3	protein_coding
chr2	127858155	-	POLR2D	protein_coding
chr2	127885967	-	AMMECR1L	protein_coding
chr2	128028120	-	SAP130	protein_coding
chr2	128091200	+	UGGT1	protein_coding
chr2	128318868	-	HS6ST1	protein_coding
chr2	129979666	+	RAB6C	protein_coding
chr2	130129222	-	POTEF	protein_coding
chr2	130145134	-	CCDC74B	protein_coding
chr2	130182750	-	SMPD4	protein_coding
chr2	130181737	+	MZT2B	protein_coding
chr2	130198439	-	TUBA3E	protein_coding
chr2	130342699	-	CCDC115	protein_coding
chr2	130342877	+	IMP4	protein_coding
chr2	130356045	+	PTPN18	protein_coding
chr2	130509707	-	POTEI	protein_coding
chr2	130521197	+	CFC1B	protein_coding
chr2	130599575	-	CFC1	protein_coding
chr2	130611440	+	POTEJ	protein_coding
chr2	130729070	+	GPR148	protein_coding
chr2	130755540	+	AMER3	protein_coding
chr2	130836914	+	ARHGEF4	protein_coding
chr2	131034928	+	SMIM39	protein_coding
chr2	131093460	-	FAM168B	protein_coding
chr2	131104847	+	PLEKHB2	protein_coding
chr2	131209536	+	POTEE	protein_coding
chr2	131364168	-	RAB6D	protein_coding
chr2	131492743	-	MZT2A	protein_coding
chr2	131476119	+	TUBA3D	protein_coding
chr2	131527675	+	CCDC74A	protein_coding
chr2	132257969	-	ANKRD30BL	protein_coding
chr2	132416805	+	GPR39	protein_coding
chr2	132671579	-	LYPD1	protein_coding
chr2	133568463	-	NCKAP5	protein_coding
chr2	134119983	+	MGAT5	protein_coding
chr2	134719000	-	TMEM163	protein_coding
chr2	134838616	+	ACMSD	protein_coding
chr2	134918235	+	CCNT2	protein_coding
chr2	135047468	-	MAP3K19	protein_coding
chr2	135052289	+	RAB3GAP1	protein_coding
chr2	135531218	-	ZRANB3	protein_coding
chr2	135531455	+	R3HDM1	protein_coding
chr2	135741734	+	UBXN4	protein_coding
chr2	135837184	-	LCT	protein_coding
chr2	135876443	-	MCM6	protein_coding
chr2	135986100	-	DARS1	protein_coding
chr2	136119177	-	CXCR4	protein_coding
chr2	136765545	+	THSD7B	protein_coding
chr2	137964020	+	HNMT	protein_coding
chr2	138501770	+	SPOPL	protein_coding
chr2	138780390	-	NXPH2	protein_coding
chr2	142131016	-	LRP1B	protein_coding
chr2	142877657	+	KYNU	protein_coding
chr2	143091362	+	ARHGAP15	protein_coding
chr2	144332568	-	GTDC1	protein_coding
chr2	144521057	-	ZEB2	protein_coding
chr2	147844517	+	ACVR2A	protein_coding
chr2	148021604	-	ORC4	protein_coding
chr2	148021011	+	MBD5	protein_coding
chr2	148644440	+	EPC2	protein_coding
chr2	148875227	+	KIF5C	protein_coding
chr2	149038107	+	LYPD6B	protein_coding
chr2	149329985	+	LYPD6	protein_coding
chr2	149587778	-	MMADHC	protein_coding
chr2	150539011	-	RND3	protein_coding
chr2	151261863	-	RBM43	protein_coding
chr2	151289894	-	NMI	protein_coding
chr2	151357592	+	TNFAIP6	protein_coding
chr2	151409883	+	RIF1	protein_coding
chr2	151734487	-	NEB	protein_coding
chr2	151828492	-	ARL5A	protein_coding
